engagement_id,customer_id,campaign_id,product_id,engagement_timestamp,campaign_type,channel,event_type,engagement_score,time_spent_seconds,conversion_flag,unsubscribe_flag
ENG0000041,CUST000284,CMP0012,PROD0122,12/6/2025 18:32,Promotion,Paid Social,Impression,5,0,0,0
ENG0000042,CUST000987,CMP0035,PROD0088,19/3/2024 18:18,Seasonal,Paid Social,Converted,100,124,1,0
ENG0000043,CUST001109,CMP0038,PROD0120,8/2/2024 15:25,Winback,SMS,Sent,0,0,0,0
ENG0000044,CUST000381,CMP0030,PROD0041,21/1/2025 4:17,Product Launch,Push Notification,Sent,1,0,0,0
ENG0000045,CUST000032,CMP0022,PROD0093,10/4/2026 19:48,Seasonal,Display Ad,Impression,0,0,0,0
ENG0000046,CUST000349,CMP0040,PROD0154,20/4/2025 16:13,Promotion,Push Notification,Converted,100,233,1,0
ENG0000047,CUST001569,CMP0007,PROD0030,20/8/2024 1:19,Promotion,Email,Opened,38,233,0,0
ENG0000048,CUST000417,CMP0027,PROD0116,3/4/2025 10:21,Abandoned Cart,Paid Social,Clicked,66,11,0,0
ENG0000049,CUST000495,CMP0034,PROD0076,8/1/2024 12:59,Seasonal,Email,Clicked,72,121,0,0
ENG0000050,CUST000823,CMP0050,PROD0026,23/5/2026 3:50,Loyalty,Paid Social,Clicked,76,79,0,0
ENG0000051,CUST000376,CMP0023,PROD0035,9/11/2024 13:41,Product Launch,SMS,Sent,12,0,0,0
ENG0000052,CUST000506,CMP0035,PROD0086,8/1/2025 18:15,Seasonal,Paid Social,Impression,0,0,0,0
ENG0000053,CUST001268,CMP0045,PROD0053,20/8/2024 2:41,Welcome,Push Notification,Converted,100,124,1,0
ENG0000054,CUST001010,CMP0014,PROD0067,7/4/2025 16:20,Abandoned Cart,Display Ad,Clicked,52,88,0,0
ENG0000055,CUST001025,CMP0009,PROD0110,6/6/2025 15:22,Seasonal,Email,Opened,32,88,0,0
ENG0000056,CUST001739,CMP0019,PROD0199,16/6/2024 8:44,Loyalty,Push Notification,Sent,11,0,0,0
ENG0000057,CUST000033,CMP0018,PROD0173,12/10/2024 17:45,Promotion,Email,Sent,0,0,0,0
ENG0000058,CUST001516,CMP0029,PROD0111,18/5/2025 21:49,Product Launch,Email,Opened,32,165,0,0
ENG0000059,CUST000947,CMP0013,PROD0056,11/7/2025 3:08,Product Launch,SMS,Sent,0,0,0,0
ENG0000060,CUST001718,CMP0026,PROD0065,18/8/2025 15:42,Product Launch,Push Notification,Sent,14,0,0,0
ENG0000061,CUST000440,CMP0030,PROD0050,16/4/2025 0:25,Product Launch,Push Notification,Sent,7,0,0,0
ENG0000062,CUST000002,CMP0014,PROD0075,1/7/2024 1:01,Abandoned Cart,Display Ad,Impression,0,0,0,0
ENG0000063,CUST000653,CMP0048,PROD0099,24/5/2026 13:36,Product Launch,Push Notification,Disabled,2,112,0,1
ENG0000064,CUST001719,CMP0010,PROD0128,19/9/2024 5:16,Seasonal,Display Ad,Impression,12,0,0,0
ENG0000065,CUST001980,CMP0004,PROD0083,12/12/2025 14:23,Product Launch,SMS,Sent,1,0,0,0
ENG0000066,CUST001792,CMP0030,PROD0055,29/9/2025 1:54,Product Launch,Push Notification,Sent,7,0,0,0
ENG0000067,CUST001651,CMP0029,PROD0107,20/1/2026 15:53,Product Launch,Email,Clicked,69,84,0,0
ENG0000068,CUST001893,CMP0050,PROD0024,11/8/2025 14:38,Loyalty,Paid Social,Impression,5,0,0,0
ENG0000069,CUST000931,CMP0029,PROD0110,31/3/2026 7:46,Product Launch,Email,Sent,0,0,0,0
ENG0000070,CUST000119,CMP0018,PROD0175,11/2/2025 22:56,Promotion,Email,Clicked,72,201,0,0
ENG0000071,CUST001052,CMP0006,PROD0063,4/4/2026 4:55,Abandoned Cart,Push Notification,Opened,34,124,0,0
ENG0000072,CUST001276,CMP0045,PROD0051,27/12/2024 6:13,Welcome,Push Notification,Opened,36,49,0,0
ENG0000073,CUST001484,CMP0046,PROD0071,13/6/2024 22:40,Promotion,Display Ad,Clicked,80,201,0,0
ENG0000074,CUST001512,CMP0010,PROD0128,24/12/2025 17:07,Seasonal,Display Ad,Impression,0,0,0,0
ENG0000075,CUST001852,CMP0024,PROD0158,30/7/2024 0:24,Promotion,SMS,Converted,92,172,1,0
ENG0000076,CUST000861,CMP0029,PROD0109,28/8/2024 16:47,Product Launch,Email,Clicked,55,102,0,0
ENG0000077,CUST000145,CMP0030,PROD0051,20/6/2025 14:11,Product Launch,Push Notification,Opened,35,89,0,0
ENG0000078,CUST000586,CMP0038,PROD0103,26/12/2024 13:50,Winback,SMS,Sent,13,0,0,0
ENG0000079,CUST001057,CMP0010,PROD0130,14/4/2026 5:45,Seasonal,Display Ad,Impression,4,0,0,0
ENG0000080,CUST000700,CMP0033,PROD0109,11/5/2024 16:03,Promotion,Email,Opened,37,2,0,0
ENG0000081,CUST001022,CMP0049,PROD0115,29/1/2025 0:50,Product Launch,Display Ad,Clicked,68,145,0,0
ENG0000082,CUST001394,CMP0042,PROD0035,17/10/2024 9:57,Seasonal,SMS,Sent,0,0,0,0
ENG0000083,CUST001289,CMP0031,PROD0178,27/6/2024 6:35,Welcome,SMS,Sent,30,0,0,0
ENG0000084,CUST000206,CMP0041,PROD0148,13/12/2025 21:14,Seasonal,Paid Social,Impression,5,0,0,0
ENG0000085,CUST001073,CMP0013,PROD0053,22/8/2024 4:40,Product Launch,SMS,Sent,17,0,0,0
ENG0000086,CUST000872,CMP0038,PROD0116,3/12/2024 14:34,Winback,SMS,Converted,89,2,1,0
ENG0000087,CUST000101,CMP0019,PROD0191,20/9/2024 16:38,Loyalty,Push Notification,Opened,26,2,0,0
ENG0000088,CUST001815,CMP0002,PROD0016,3/6/2024 6:51,Product Launch,SMS,Sent,6,0,0,0
ENG0000089,CUST001279,CMP0006,PROD0072,20/5/2026 12:25,Abandoned Cart,Push Notification,Opened,41,5,0,0
ENG0000090,CUST001918,CMP0009,PROD0119,12/9/2024 3:44,Seasonal,Email,Sent,0,0,0,0
ENG0000091,CUST001769,CMP0034,PROD0065,11/11/2024 21:04,Seasonal,Email,Sent,8,0,0,0
ENG0000092,CUST000792,CMP0009,PROD0109,11/8/2024 20:25,Seasonal,Email,Sent,9,0,0,0
ENG0000093,CUST001715,CMP0002,PROD0019,3/7/2025 16:34,Product Launch,SMS,Sent,1,0,0,0
ENG0000094,CUST000828,CMP0038,PROD0116,17/12/2024 2:55,Winback,SMS,Sent,10,0,0,0
ENG0000095,CUST000237,CMP0008,PROD0033,22/9/2025 18:10,Product Launch,Paid Social,Hidden,2,118,0,0
ENG0000096,CUST000767,CMP0032,PROD0017,22/4/2026 10:17,Promotion,Push Notification,Opened,40,144,0,0
ENG0000097,CUST000313,CMP0018,PROD0169,5/9/2025 2:04,Promotion,Email,Sent,0,0,0,0
ENG0000098,CUST001495,CMP0029,PROD0110,25/9/2025 19:29,Product Launch,Email,Clicked,63,55,0,0
ENG0000099,CUST001841,CMP0037,PROD0196,5/10/2025 11:00,Product Launch,Email,Sent,4,0,0,0
ENG0000100,CUST000431,CMP0043,PROD0051,16/11/2024 14:56,Seasonal,SMS,Opted out,6,3,0,1
ENG0000101,CUST000203,CMP0037,PROD0196,16/5/2025 15:14,Product Launch,Email,Sent,6,0,0,0
ENG0000102,CUST001483,CMP0048,PROD0084,7/2/2025 15:54,Product Launch,Push Notification,Opened,38,185,0,0
ENG0000103,CUST000699,CMP0037,PROD0182,13/12/2024 17:36,Product Launch,Email,Clicked,60,135,0,0
ENG0000104,CUST000179,CMP0022,PROD0083,11/6/2026 0:46,Seasonal,Display Ad,Clicked,76,141,0,0
ENG0000105,CUST001990,CMP0022,PROD0100,4/3/2024 14:11,Seasonal,Display Ad,Impression,2,0,0,0
ENG0000106,CUST000537,CMP0033,PROD0113,12/4/2025 5:18,Promotion,Email,Sent,0,0,0,0
ENG0000107,CUST001625,CMP0048,PROD0093,20/1/2024 23:38,Product Launch,Push Notification,Opened,50,100,0,0
ENG0000108,CUST000072,CMP0045,PROD0048,30/6/2025 7:26,Welcome,Push Notification,Converted,100,2,1,0
ENG0000109,CUST001116,CMP0046,PROD0074,6/3/2025 7:32,Promotion,Display Ad,Clicked,76,55,0,0
ENG0000110,CUST001859,CMP0010,PROD0129,9/1/2025 10:03,Seasonal,Display Ad,Impression,0,0,0,0
ENG0000111,CUST000352,CMP0015,PROD0101,5/9/2024 8:25,Loyalty,SMS,Converted,100,71,1,0
ENG0000112,CUST000045,CMP0021,PROD0089,9/6/2025 1:26,Winback,Paid Social,Impression,5,0,0,0
ENG0000113,CUST001010,CMP0044,PROD0186,26/4/2026 10:58,Seasonal,Paid Social,Impression,2,0,0,0
ENG0000114,CUST000125,CMP0037,PROD0185,4/2/2024 15:56,Product Launch,Email,Sent,0,0,0,0
ENG0000115,CUST000447,CMP0032,PROD0005,29/5/2024 17:50,Promotion,Push Notification,Sent,4,0,0,0
ENG0000116,CUST001343,CMP0023,PROD0023,3/7/2024 17:21,Product Launch,SMS,Sent,5,0,0,0
ENG0000117,CUST001878,CMP0050,PROD0027,11/10/2025 1:50,Loyalty,Paid Social,Impression,7,0,0,0
ENG0000118,CUST001279,CMP0010,PROD0132,30/5/2024 12:17,Seasonal,Display Ad,Impression,24,0,0,0
ENG0000119,CUST001406,CMP0021,PROD0084,17/3/2024 18:27,Winback,Paid Social,Impression,18,0,0,0
ENG0000120,CUST000927,CMP0036,PROD0167,2/11/2024 13:25,Product Launch,Push Notification,Opened,36,33,0,0
ENG0000121,CUST001403,CMP0007,PROD0038,31/1/2025 18:12,Promotion,Email,Sent,19,0,0,0
ENG0000122,CUST000623,CMP0038,PROD0119,10/5/2026 18:10,Winback,SMS,Clicked,73,191,0,0
ENG0000123,CUST001478,CMP0016,PROD0058,16/3/2024 15:54,Loyalty,Push Notification,Sent,1,0,0,0
ENG0000124,CUST001194,CMP0016,PROD0059,1/2/2025 14:50,Loyalty,Push Notification,Clicked,56,2,0,0
ENG0000125,CUST001723,CMP0012,PROD0136,13/8/2024 17:17,Promotion,Paid Social,Converted,100,23,1,0
ENG0000126,CUST001535,CMP0013,PROD0042,1/2/2025 22:39,Product Launch,SMS,Sent,0,0,0,0
ENG0000127,CUST000389,CMP0022,PROD0098,18/6/2025 4:56,Seasonal,Display Ad,Impression,0,0,0,0
ENG0000128,CUST001034,CMP0029,PROD0104,21/10/2025 6:43,Product Launch,Email,Opened,40,64,0,0
ENG0000129,CUST000535,CMP0014,PROD0077,21/7/2025 17:06,Abandoned Cart,Display Ad,Impression,3,0,0,0
ENG0000130,CUST001851,CMP0009,PROD0119,18/2/2025 18:24,Seasonal,Email,Sent,0,0,0,0
ENG0000131,CUST001532,CMP0038,PROD0115,27/9/2024 2:43,Winback,SMS,Sent,2,0,0,0
ENG0000132,CUST001280,CMP0002,PROD0019,24/3/2026 16:12,Product Launch,SMS,Sent,11,0,0,0
ENG0000133,CUST000876,CMP0014,PROD0069,18/4/2024 14:04,Abandoned Cart,Display Ad,Impression,1,0,0,0
ENG0000134,CUST000064,CMP0028,PROD0039,6/2/2026 3:33,Seasonal,Email,Opened,46,157,0,0
ENG0000135,CUST000379,CMP0010,PROD0137,27/7/2024 15:55,Seasonal,Display Ad,Impression,12,0,0,0
ENG0000136,CUST001015,CMP0040,PROD0152,24/6/2026 7:51,Promotion,Push Notification,Converted,87,94,1,0
ENG0000137,CUST000349,CMP0031,PROD0174,27/6/2025 20:31,Welcome,SMS,Clicked,74,67,0,0
ENG0000138,CUST000031,CMP0002,PROD0012,14/1/2024 16:27,Product Launch,SMS,Sent,15,0,0,0
ENG0000139,CUST000785,CMP0033,PROD0110,6/6/2026 8:26,Promotion,Email,Sent,6,0,0,0
ENG0000140,CUST000518,CMP0012,PROD0137,20/9/2024 2:31,Promotion,Paid Social,Clicked,53,116,0,0
ENG0000141,CUST001872,CMP0046,PROD0073,24/2/2025 18:53,Promotion,Display Ad,Converted,97,108,1,0
ENG0000142,CUST001507,CMP0025,PROD0127,15/12/2025 7:49,Winback,SMS,Clicked,74,55,0,0
ENG0000143,CUST001197,CMP0024,PROD0153,18/8/2025 6:45,Promotion,SMS,Sent,0,0,0,0
ENG0000144,CUST001008,CMP0049,PROD0120,5/9/2024 12:43,Product Launch,Display Ad,Converted,82,2,1,0
ENG0000145,CUST001206,CMP0028,PROD0030,3/1/2025 16:22,Seasonal,Email,Sent,18,0,0,0
ENG0000146,CUST001302,CMP0026,PROD0067,4/10/2025 22:39,Product Launch,Push Notification,Sent,7,0,0,0
ENG0000147,CUST001846,CMP0049,PROD0118,22/12/2025 3:05,Product Launch,Display Ad,Impression,9,0,0,0
ENG0000148,CUST001414,CMP0042,PROD0030,10/11/2025 18:44,Seasonal,SMS,Clicked,68,108,0,0
ENG0000149,CUST001055,CMP0025,PROD0122,30/10/2025 11:28,Winback,SMS,Clicked,58,144,0,0
ENG0000150,CUST000222,CMP0024,PROD0150,17/11/2025 19:48,Promotion,SMS,Sent,14,0,0,0
ENG0000151,CUST001412,CMP0015,PROD0106,18/4/2024 5:56,Loyalty,SMS,Sent,9,0,0,0
ENG0000152,CUST001037,CMP0034,PROD0078,18/2/2026 4:10,Seasonal,Email,Sent,1,0,0,0
ENG0000153,CUST000726,CMP0013,PROD0044,25/3/2025 13:59,Product Launch,SMS,Sent,7,0,0,0
ENG0000154,CUST001890,CMP0025,PROD0125,7/2/2025 21:28,Winback,SMS,Sent,6,0,0,0
ENG0000155,CUST000394,CMP0033,PROD0112,1/12/2025 7:46,Promotion,Email,Opened,47,173,0,0
ENG0000156,CUST001995,CMP0013,PROD0042,16/2/2025 19:51,Product Launch,SMS,Sent,0,0,0,0
ENG0000157,CUST001930,CMP0035,PROD0100,21/4/2024 13:49,Seasonal,Paid Social,Impression,3,0,0,0
ENG0000158,CUST000551,CMP0003,PROD0043,19/4/2025 21:04,Promotion,Email,Opened,31,126,0,0
ENG0000159,CUST000100,CMP0002,PROD0016,24/2/2025 16:09,Product Launch,SMS,Sent,2,0,0,0
ENG0000160,CUST000588,CMP0020,PROD0081,6/4/2026 2:39,Welcome,SMS,Clicked,83,93,0,0
ENG0000161,CUST001306,CMP0040,PROD0156,26/1/2026 7:33,Promotion,Push Notification,Opened,43,146,0,0
ENG0000162,CUST000279,CMP0034,PROD0075,20/11/2024 18:22,Seasonal,Email,Clicked,74,91,0,0
ENG0000163,CUST001326,CMP0037,PROD0185,9/7/2025 11:35,Product Launch,Email,Opened,34,51,0,0
ENG0000164,CUST001751,CMP0017,PROD0169,7/2/2025 8:30,Loyalty,Display Ad,Impression,1,0,0,0
ENG0000165,CUST001731,CMP0036,PROD0175,6/7/2025 12:28,Product Launch,Push Notification,Clicked,47,172,0,0
ENG0000166,CUST000470,CMP0030,PROD0052,10/2/2024 23:44,Product Launch,Push Notification,Sent,9,0,0,0
ENG0000167,CUST001019,CMP0025,PROD0125,30/12/2025 9:05,Winback,SMS,Sent,14,0,0,0
ENG0000168,CUST000373,CMP0007,PROD0037,29/2/2024 4:54,Promotion,Email,Opened,22,108,0,0
ENG0000169,CUST000177,CMP0046,PROD0066,24/6/2025 1:22,Promotion,Display Ad,Converted,100,33,1,0
ENG0000170,CUST001266,CMP0015,PROD0116,31/7/2025 23:22,Loyalty,SMS,Sent,0,0,0,0
ENG0000171,CUST001738,CMP0027,PROD0109,10/1/2024 5:05,Abandoned Cart,Paid Social,Clicked,52,2,0,0
ENG0000172,CUST000608,CMP0001,PROD0097,11/8/2025 22:12,Promotion,Email,Opened,34,24,0,0
ENG0000173,CUST001829,CMP0047,PROD0032,18/12/2024 2:56,Winback,Email,Sent,16,0,0,0
ENG0000174,CUST000405,CMP0048,PROD0099,4/1/2025 1:16,Product Launch,Push Notification,Sent,19,0,0,0
ENG0000175,CUST001261,CMP0049,PROD0111,22/6/2024 9:37,Product Launch,Display Ad,Impression,0,0,0,0
ENG0000176,CUST000913,CMP0001,PROD0100,14/10/2025 17:10,Promotion,Email,Sent,10,0,0,0
ENG0000177,CUST000417,CMP0028,PROD0030,11/3/2024 0:11,Seasonal,Email,Clicked,61,148,0,0
ENG0000178,CUST000556,CMP0021,PROD0094,10/4/2026 3:13,Winback,Paid Social,Clicked,62,2,0,0
ENG0000179,CUST001178,CMP0004,PROD0095,26/2/2025 3:10,Product Launch,SMS,Sent,17,0,0,0
ENG0000180,CUST000854,CMP0004,PROD0090,15/11/2024 20:33,Product Launch,SMS,Sent,0,0,0,0
ENG0000181,CUST001461,CMP0006,PROD0071,29/9/2025 23:48,Abandoned Cart,Push Notification,Opened,27,2,0,0
ENG0000182,CUST000438,CMP0029,PROD0104,9/9/2024 7:16,Product Launch,Email,Clicked,66,90,0,0
ENG0000183,CUST001578,CMP0021,PROD0091,5/5/2024 14:20,Winback,Paid Social,Clicked,62,125,0,0
ENG0000184,CUST001843,CMP0034,PROD0074,4/10/2025 7:29,Seasonal,Email,Opened,35,98,0,0
ENG0000185,CUST001368,CMP0022,PROD0095,13/3/2024 12:58,Seasonal,Display Ad,Impression,2,0,0,0
ENG0000186,CUST000081,CMP0017,PROD0168,27/3/2026 4:10,Loyalty,Display Ad,Impression,0,0,0,0
ENG0000187,CUST000982,CMP0046,PROD0070,2/2/2025 12:26,Promotion,Display Ad,Impression,3,0,0,0
ENG0000188,CUST000812,CMP0013,PROD0044,23/6/2024 15:57,Product Launch,SMS,Sent,17,0,0,0
ENG0000189,CUST001262,CMP0031,PROD0168,1/11/2024 19:31,Welcome,SMS,Clicked,68,126,0,0
ENG0000190,CUST000328,CMP0025,PROD0139,10/2/2024 5:03,Winback,SMS,Sent,8,0,0,0
ENG0000191,CUST001431,CMP0049,PROD0113,19/3/2024 21:28,Product Launch,Display Ad,Impression,5,0,0,0
ENG0000192,CUST001262,CMP0042,PROD0036,23/2/2024 21:30,Seasonal,SMS,Opted out,0,31,0,1
ENG0000193,CUST001430,CMP0037,PROD0187,29/3/2025 18:32,Product Launch,Email,Clicked,78,122,0,0
ENG0000194,CUST001274,CMP0013,PROD0046,12/4/2026 21:23,Product Launch,SMS,Converted,93,88,1,0
ENG0000195,CUST000987,CMP0013,PROD0057,1/3/2026 4:05,Product Launch,SMS,Clicked,77,47,0,0
ENG0000196,CUST000484,CMP0045,PROD0043,2/12/2025 16:11,Welcome,Push Notification,Opened,31,113,0,0
ENG0000197,CUST000045,CMP0034,PROD0070,22/1/2025 4:49,Seasonal,Email,Clicked,68,52,0,0
ENG0000198,CUST001713,CMP0020,PROD0099,19/10/2025 9:10,Welcome,SMS,Sent,0,0,0,0
ENG0000199,CUST000117,CMP0009,PROD0102,13/3/2026 15:35,Seasonal,Email,Converted,100,131,1,0
ENG0000200,CUST000059,CMP0005,PROD0086,17/5/2026 7:50,Abandoned Cart,Display Ad,Impression,6,0,0,0
ENG0000201,CUST000351,CMP0021,PROD0097,8/9/2025 21:54,Winback,Paid Social,Impression,6,0,0,0
ENG0000202,CUST000549,CMP0003,PROD0048,7/12/2024 12:07,Promotion,Email,Sent,9,0,0,0
ENG0000203,CUST000392,CMP0012,PROD0131,27/4/2025 20:39,Promotion,Paid Social,Clicked,80,200,0,0
ENG0000204,CUST000430,CMP0046,PROD0061,29/3/2026 16:38,Promotion,Display Ad,Impression,1,0,0,0
ENG0000205,CUST000959,CMP0022,PROD0091,9/4/2025 19:56,Seasonal,Display Ad,Converted,97,253,1,0
ENG0000206,CUST000080,CMP0023,PROD0037,20/9/2024 10:31,Product Launch,SMS,Clicked,61,15,0,0
ENG0000207,CUST000214,CMP0031,PROD0165,9/11/2024 3:33,Welcome,SMS,Sent,16,0,0,0
ENG0000208,CUST000515,CMP0021,PROD0096,12/1/2025 4:20,Winback,Paid Social,Clicked,67,2,0,0
ENG0000209,CUST001641,CMP0031,PROD0173,4/4/2024 2:41,Welcome,SMS,Clicked,66,35,0,0
ENG0000210,CUST000546,CMP0022,PROD0095,19/4/2025 1:51,Seasonal,Display Ad,Impression,0,0,0,0
ENG0000211,CUST001369,CMP0026,PROD0078,4/7/2024 0:03,Product Launch,Push Notification,Disabled,7,105,0,1
ENG0000212,CUST001904,CMP0049,PROD0120,19/3/2024 14:46,Product Launch,Display Ad,Impression,3,0,0,0
ENG0000213,CUST001441,CMP0036,PROD0172,12/12/2025 22:39,Product Launch,Push Notification,Clicked,59,122,0,0
ENG0000214,CUST000832,CMP0011,PROD0139,28/4/2025 20:29,Abandoned Cart,Paid Social,Impression,0,0,0,0
ENG0000215,CUST000090,CMP0030,PROD0058,14/7/2024 1:29,Product Launch,Push Notification,Sent,0,0,0,0
ENG0000216,CUST000196,CMP0002,PROD0007,4/3/2026 11:32,Product Launch,SMS,Sent,1,0,0,0
ENG0000217,CUST001226,CMP0035,PROD0095,24/7/2024 8:02,Seasonal,Paid Social,Clicked,70,171,0,0
ENG0000218,CUST001415,CMP0029,PROD0114,22/4/2024 0:34,Product Launch,Email,Sent,10,0,0,0
ENG0000219,CUST000680,CMP0026,PROD0071,7/4/2024 5:11,Product Launch,Push Notification,Opened,52,112,0,0
ENG0000220,CUST000573,CMP0046,PROD0070,17/4/2026 19:17,Promotion,Display Ad,Clicked,66,2,0,0
ENG0000221,CUST001073,CMP0041,PROD0153,26/8/2024 0:25,Seasonal,Paid Social,Impression,7,0,0,0
ENG0000222,CUST000761,CMP0027,PROD0119,29/4/2026 17:23,Abandoned Cart,Paid Social,Impression,2,0,0,0
ENG0000223,CUST000778,CMP0037,PROD0181,28/2/2025 8:14,Product Launch,Email,Sent,0,0,0,0
ENG0000224,CUST001665,CMP0045,PROD0042,24/2/2025 10:19,Welcome,Push Notification,Opened,37,2,0,0
ENG0000225,CUST001908,CMP0032,PROD0001,18/12/2025 16:52,Promotion,Push Notification,Sent,6,0,0,0
ENG0000226,CUST001712,CMP0035,PROD0098,25/8/2024 3:44,Seasonal,Paid Social,Impression,0,0,0,0
ENG0000227,CUST001861,CMP0039,PROD0139,12/9/2024 18:59,Promotion,SMS,Sent,0,0,0,0
ENG0000228,CUST001003,CMP0042,PROD0033,15/11/2024 6:57,Seasonal,SMS,Sent,11,0,0,0
ENG0000229,CUST001555,CMP0050,PROD0025,17/7/2024 16:11,Loyalty,Paid Social,Clicked,52,2,0,0
ENG0000230,CUST001932,CMP0034,PROD0063,20/10/2025 23:34,Seasonal,Email,Clicked,64,101,0,0
ENG0000231,CUST001726,CMP0025,PROD0140,8/9/2024 3:40,Winback,SMS,Converted,88,46,1,0
ENG0000232,CUST000062,CMP0005,PROD0099,6/9/2024 20:24,Abandoned Cart,Display Ad,Impression,4,0,0,0
ENG0000233,CUST001708,CMP0004,PROD0082,12/9/2024 2:06,Product Launch,SMS,Converted,99,2,1,0
ENG0000234,CUST000003,CMP0040,PROD0145,20/1/2025 22:37,Promotion,Push Notification,Opened,35,40,0,0
ENG0000235,CUST001617,CMP0048,PROD0082,25/11/2024 13:29,Product Launch,Push Notification,Sent,13,0,0,0
